d,n,m,i,time
0.2,30,30,3,0.756140378
0.2,30,30,5,0.750152008
0.2,30,30,6,0.782832658
0.2,30,30,4,1.161529089
0.2,30,30,0,1.615071951
0.2,30,30,8,0.782979671
0.2,30,30,7,1.011813176
0.2,30,30,9,0.959823174
0.2,30,30,10,0.966531176
0.2,30,30,11,0.783990444
0.2,30,30,12,0.751798536
0.2,30,30,14,0.960239578
0.2,30,30,16,0.757277561
0.2,30,30,15,0.922570472
0.2,30,30,18,0.949690026
0.2,30,30,17,1.204295058
0.2,30,30,13,1.699055003
0.2,30,30,19,1.170204869
0.2,30,30,20,0.908720559
0.2,30,30,21,1.001492481
0.2,30,30,22,1.002796889
0.2,30,30,24,0.955703468
0.2,30,30,25,0.95561538
0.2,30,30,26,0.95675597
0.2,30,30,23,1.506291016
0.2,30,30,29,0.859946437
0.2,30,30,28,0.963801308
0.2,30,30,27,1.155713748
0.2,50,5,0,0.513660065
0.2,50,5,2,0.482194511
0.2,50,5,1,0.505730999
0.2,50,5,3,0.498956354
0.2,50,5,4,0.520288977
0.2,50,5,5,0.539315087
0.2,50,5,9,0.507059113
0.2,50,5,6,0.58202881
0.2,50,5,7,0.616190908
0.2,50,5,8,0.599168212
0.2,50,5,10,0.497167659
0.2,50,5,11,0.49524532
0.2,50,5,12,0.4885848
0.2,50,5,13,0.55431751
0.2,50,5,15,0.513329356
0.2,50,5,16,0.551223944
0.2,50,5,17,0.535857294
0.2,50,5,14,0.75226755
0.2,50,5,18,0.581955435
0.2,50,5,19,0.512922552
0.2,50,5,21,0.539208706
0.2,50,5,20,0.588534636
0.2,50,5,22,0.59394471
0.2,50,5,23,0.536066046
0.2,50,5,24,0.656250286
0.2,50,5,25,0.616966633
0.2,50,5,26,0.641894917
0.2,50,5,28,0.469743208
0.2,50,5,27,0.609789384
0.2,50,5,29,0.606435599
0.2,50,10,0,0.927254802
0.2,50,10,1,0.93580965
0.2,50,10,3,0.839865392
0.2,50,10,4,0.840085092
0.2,50,10,2,1.077143337
0.2,50,10,6,0.857669489
0.2,50,10,5,1.154924483
0.2,50,10,7,0.904273705
0.2,50,10,8,0.874539772
0.2,50,10,9,0.871845304
0.2,50,10,10,1.184152799
0.2,50,10,11,1.14191364
0.2,50,10,13,0.863360359
0.2,50,10,12,1.172965773
0.2,50,10,14,0.866428389
0.2,50,10,16,0.969968784
0.2,50,10,17,0.938094862
0.2,50,10,15,1.562756081
0.2,50,10,18,1.124404541
0.2,50,10,19,1.114910343
0.2,50,10,22,0.920613127
0.2,50,10,21,1.19059955
0.2,50,10,23,0.877676071
0.2,50,10,20,1.839323897
0.2,50,10,26,1.034060372
0.2,50,10,24,1.140020617
0.2,50,10,28,0.889054939
0.2,50,10,25,1.254861403
0.2,50,10,27,1.30264829
0.2,50,10,29,1.084602981
0.2,50,20,0,1.683709672
0.2,50,20,1,1.603904249
0.2,100,30,29,32.957221494
0.2,50,20,5,1.637498871
0.2,50,20,4,2.262445189
0.2,50,20,3,2.278513951
0.2,50,20,7,1.792814109
0.2,50,20,2,3.2462604
0.2,50,20,10,1.807042185
0.2,50,20,6,3.366937809
0.2,50,20,12,1.713330605
0.2,50,20,9,2.332774814
0.2,50,20,11,1.749958971
0.2,50,20,8,2.830805685
0.2,50,20,13,1.703346485
0.2,50,20,14,2.25009327
0.2,50,20,16,1.71924938
0.2,50,20,15,2.25213164
0.2,50,20,19,2.077308967
0.2,50,20,17,2.322789851
0.2,50,20,18,2.407302313
0.2,50,20,20,2.429327804
0.2,50,20,21,2.19564049
0.2,50,20,25,1.757662863
0.2,50,20,22,2.687822255
0.2,50,20,27,1.70723524
0.2,50,20,23,2.848148737
0.2,50,20,26,2.901580498
0.2,50,20,24,3.412449295
0.2,50,20,28,2.922959059
0.2,50,20,29,2.821433676
0.2,50,30,2,2.673358976
0.2,50,30,3,2.588288852
0.2,50,30,0,4.581514274
0.2,50,30,4,3.435010628
0.2,50,30,1,4.6065957300000004
0.2,50,30,5,3.559621498
0.2,50,30,6,3.539140741
0.2,50,30,7,3.498022158
0.2,50,30,10,2.616425494
0.2,50,30,8,4.453762453
0.2,50,30,11,2.645236932
0.2,50,30,9,4.574018678
0.2,50,30,14,3.533075367
0.2,50,30,13,3.688042672
0.2,50,30,15,4.516628739
0.2,50,30,18,2.636599149
0.2,50,30,17,2.727197936
0.2,50,30,12,5.301720297
0.2,50,30,16,3.5106093
0.2,50,30,23,2.535999769
0.2,50,30,20,4.432966285
0.2,50,30,21,4.507148855
0.2,50,30,22,3.489416586
0.3,5,5,0,0.012781096
0.3,5,5,1,0.012133608
0.3,5,5,2,0.00971281
0.3,5,5,3,0.014609025
0.3,5,5,4,0.014693714
0.3,5,5,5,0.012028248
0.3,5,5,6,0.010961881
0.3,5,5,7,0.012209565
0.3,5,5,8,0.01299575
0.3,5,5,9,0.011890115
0.2,50,30,24,3.514807706
0.3,5,5,10,0.009976287
0.3,5,5,11,0.010130569
0.3,5,5,12,0.014567384
0.3,5,5,13,0.009824555
0.3,5,5,14,0.010333384
0.3,5,5,15,0.014025916
0.2,50,30,25,3.559251618
0.3,5,5,16,0.011852294
0.3,5,5,17,0.011841288
0.3,5,5,18,0.013552001
0.3,5,5,19,0.014340364
0.3,5,5,20,0.010131711
0.3,5,5,21,0.012609361
0.3,5,5,23,0.009568533
0.3,5,5,22,0.015528606
0.3,5,5,24,0.013300441
0.3,5,5,25,0.015178084
0.3,5,5,26,0.012224488
0.3,5,5,27,0.012441246
0.3,5,5,28,0.009996868
0.3,5,5,29,0.014635499
0.3,5,10,0,0.01830347
0.3,5,10,1,0.017731544
0.3,5,10,2,0.017987136
0.3,5,10,4,0.015651715
0.3,5,10,3,0.018328736
0.3,5,10,5,0.016714686
0.3,5,10,6,0.01478914
0.3,5,10,7,0.017093164
0.3,5,10,8,0.018715003
0.3,5,10,10,0.012377848
0.3,5,10,9,0.018734975
0.3,5,10,11,0.012254107
0.3,5,10,13,0.012896095
0.3,5,10,12,0.015658493
0.3,5,10,14,0.013278446
0.3,5,10,15,0.012618129
0.3,5,10,16,0.014127348
0.3,5,10,17,0.017591621000000002
0.3,5,10,18,0.013100517
0.3,5,10,19,0.013789105
0.3,5,10,20,0.012666684
0.3,5,10,21,0.013968126
0.3,5,10,22,0.014555656
