r,n,m,i,bs,jri
0.2,20,10,25,0.2,0.009941520467836256
0.2,20,10,26,0.15,0.0023391812865497076
0.2,20,10,27,0.25,0.005263157894736842
0.2,20,10,28,0.3,0.016959064327485382
0.2,20,10,29,0.2,0.0035087719298245615
0.2,20,20,0,0.3,0.006094182825484765
0.2,20,20,1,0.35,0.010249307479224376
0.2,20,20,2,0.3,0.007479224376731302
0.2,20,20,3,0.35,0.008033240997229917
0.2,20,20,4,0.15,0.006371191135734072
0.2,20,20,5,0.4,0.007756232686980609
0.2,20,20,6,0.2,0.001662049861495845
0.2,20,20,7,0.25,0.013573407202216068
0.2,20,20,8,0.15,0.001662049861495845
0.2,20,20,9,0.35,0.008033240997229917
0.2,20,20,10,0.25,0.0036011080332409976
0.2,20,20,11,0.35,0.008033240997229917
0.2,20,20,12,0.2,0.006094182825484765
0.2,20,20,13,0.3,0.010526315789473684
0.2,20,20,14,0.25,0.011634349030470914
0.2,20,20,15,0.25,0.005263157894736842
0.2,20,20,16,0.25,0.006094182825484765
0.2,20,20,17,0.3,0.011634349030470914
0.2,20,20,18,0.35,0.01218836565096953
0.2,20,20,19,0.3,0.008033240997229917
0.2,20,20,20,0.25,0.008587257617728532
0.2,20,20,21,0.3,0.011357340720221607
0.2,20,20,22,0.2,0.004432132963988919
0.2,20,20,23,0.25,0.002770083102493075
0.2,20,20,24,0.2,0.007202216066481995
0.2,20,20,25,0.2,0.00554016620498615
0.2,20,20,26,0.25,0.011911357340720222
0.2,20,20,27,0.2,0.004986149584487534
0.2,20,20,28,0.25,0.016066481994459834
0.2,20,20,29,0.2,0.004986149584487534
0.2,20,30,0,0.3,0.007985480943738656
0.2,20,30,1,0.2,0.005081669691470054
0.2,20,30,2,0.15,0.0012704174228675136
0.2,20,30,3,0.2,0.002177858439201452
0.2,20,30,4,0.25,0.004174228675136117
0.2,20,30,5,0.3,0.008711433756805808
0.2,20,30,6,0.2,0.001996370235934664
0.2,20,30,7,0.25,0.0070780399274047185
0.2,20,30,8,0.35,0.005626134301270418
0.2,20,30,9,0.4,0.008348457350272233
0.2,20,30,10,0.3,0.0074410163339382945
0.2,20,30,11,0.3,0.0070780399274047185
0.2,20,30,12,0.2,0.0029038112522686023
0.2,20,30,13,0.3,0.006170598911070781
0.2,20,30,14,0.25,0.004355716878402904
0.2,20,30,15,0.2,0.004900181488203267
0.2,20,30,16,0.45,0.004355716878402904
0.2,20,30,17,0.2,0.006533575317604356
0.2,20,30,18,0.25,0.007259528130671506
0.2,20,30,19,0.35,0.007803992740471869
0.2,20,30,20,0.2,0.002540834845735027
0.2,20,30,21,0.35,0.008348457350272233
0.2,20,30,22,0.3,0.003448275862068966
0.2,20,30,23,0.25,0.003992740471869328
0.2,20,30,24,0.4,0.005989110707803993
0.2,20,30,25,0.25,0.006715063520871143
0.2,20,30,26,0.35,0.009074410163339383
0.2,20,30,27,0.3,0.006352087114337568
0.2,20,30,28,0.4,0.006896551724137932
0.2,20,30,29,0.2,0.003448275862068966
0.2,30,5,0,0.1,0.01954022988505747
